ID_Mandragore;X;Y;WIDTH;HEIGHT;COORD IIIF;URL IIIF;Image Gallica;ARK Mandragore;ID MSS;ID part;Folio;Lég corrigé;Rubrique;Inscriptions;Notes;Part;NomUs corrigé;AutT corrigé;Dt;Dt corrigé;DtP;DtP corrigé;Art corrigé;Origine corrigé;Loc corrigé;Division;Libelle;CoteN;CoteNb;CoteA;Volume;CoteAd
26411;408;408;3372;4939;408,408,3372,4939;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f57/408,408,3372,4939/full/0/native.jpg;57;ark:/12148/cgfbt26411t;896;1193;23;Allégorie: Raison et l'homme;de robes precieuses et aultre ornement corporel. dyalogue XXe. joye;de serviteurs et chevaulx / de magnificence de maisons / fortune / de musique / de faulconerie / de grant multitude de serviteurs / abus ->;-> prosperite / l'ome / sansualite / joye / rayson / foy - esperance / de venerie / de utensiles pour boire et mengier;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
122797;654;2835;382;324;654,2835,382,324;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f59/654,2835,382,324/full/0/native.jpg;59;ark:/12148/cgfbt122797c;896;1194;24;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
122798;1890;1081;395;265;1890,1081,395,265;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f61/1890,1081,395,265/full/0/native.jpg;61;ark:/12148/cgfbt122798r;896;1194;25;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
122799;628;1715;369;285;628,1715,369,285;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f63/628,1715,369,285/full/0/native.jpg;63;ark:/12148/cgfbt1227994;896;1194;26;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
122800;2780;2069;368;265;2780,2069,368,265;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f66/2780,2069,368,265/full/0/native.jpg;66;ark:/12148/cgfbt122800x;896;1194;27v;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26412;472;420;3388;4856;472,420,3388,4856;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f90/472,420,3388,4856/full/0/native.jpg;90;ark:/12148/cgfbt264125;896;1193;39v;Allégorie: Raison et l'homme;de tables paintes. dya[logue] XL. joye;de belles statues d'ymages et beaute de corps / fortune / de trouver une myne d'or / d'onst de gendarmes et chevalerie / de la renommee des... ->;...  escrivains et conposeurs de livres / abus / esperance / prosperite / l'ome / sensualite / joye / rayson / foy - esperance / de vesseaulx d'or et d'argent;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26413;162;492;3386;4901;162,492,3386,4901;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f121/162,492,3386,4901/full/0/native.jpg;121;ark:/12148/cgfbt26413h;896;1193;55;Allégorie: Raison et l'homme;de beaulx vergiers. dya[logue] LVIII. joye;de cameaulx et elephans / fortune / de bergiers troupeaulx de bestes et mouches à myel / abus / prosperite / esperance / l'ome / sensualite ->;-> joye / rayson / foy - esperance / de noble feme en mariage / de fille chaste / de la beaulte des enfens / des oyseaulx et bestes sauvages;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26414;854;983;537;3312;854,983,537,3312;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f122/854,983,537,3312/full/0/native.jpg;122;ark:/12148/cgfbt26414v;896;1194;55v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26415;595;505;3345;4891;595,505,3345,4891;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f144/595,505,3345,4891/full/0/native.jpg;144;ark:/12148/cgfbt264156;896;1193;66v;Allégorie: Raison et l'homme;de secondes nopces. LXXVI. joye;de l'arivee (?) prosperee au port desire / fortune / abus / prosperite / esperance / l'ome / sensualite / joye / rayson / foy - esperance ->;-> les filles / la seconde feme / les filz;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
122801;434;867;498;511;434,867,498,511;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f145/434,867,498,511/full/0/native.jpg;145;ark:/12148/cgfbt1228019;896;1194;67;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26416;679;472;3312;4904;679,472,3312,4904;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f168/679,472,3312,4904/full/0/native.jpg;168;ark:/12148/cgfbt26416j;896;1193;78v;Allégorie: Raison et l'homme;de royaume et empire. dyalogue IIIIxxXVI. joye;fortune / de grant multitude de navires / de grant conpaignie et ost de gendarmes / abus / esperance / prosperite / joye / l'ome / sensualite ->;-> rayson / foy - esperance / de canons et orbalestes;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26417;240;434;3321;4972;240,434,3321,4972;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f211/240,434,3321,4972/full/0/native.jpg;211;ark:/12148/cgfbt26417w;896;1193;100;Allégorie : Roue de la Fortune;prologue sur le second livre de ce present euvre en quel le poethe parle de fortune adverse;envie / avarice / povrete / maladie / felbesse / fortune / orgeul / adversite / rapine / mort voluntaire / mort souldaine / mort violente ->;-> mort honteuse / mort naturelle / desperance / luxure / traison / crainte / paresse / discorde / glotonnye / tristesse / fraude / ire;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26418;1003;912;595;3422;1003,912,595,3422;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f212/1003,912,595,3422/full/0/native.jpg;212;ark:/12148/cgfbt264187;896;1194;100v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26419;330;473;3341;4927;330,473,3341,4927;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f219/330,473,3341,4927/full/0/native.jpg;219;ark:/12148/cgfbt26419k;896;1193;104;Allégorie: Raison et l'homme;cy commence le second livre de ce present euvre où le poethe parle de fortune adverse et premierement de la defformite du corps. dyalogue premier. douleur;fortune / adversite / crainte / douleur / rayson / foy - esperance / diformite / povrete / l'ome / maladie / feiblesse / desperance;0;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26420;724;983;660;3344;724,983,660,3344;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f220/724,983,660,3344/full/0/native.jpg;220;ark:/12148/cgfbt26420s;896;1194;104v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
122802;1332;1423;511;459;1332,1423,511,459;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f220/1332,1423,511,459/full/0/native.jpg;220;ark:/12148/cgfbt122802p;896;1194;104v;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26421;459;466;3370;4896;459,466,3370,4896;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f252/459,466,3370,4896/full/0/native.jpg;252;ark:/12148/cgfbt264214;896;1193;120v;Allégorie: Raison et l'homme;de femme espousee adjugee à aultruy. dya[logue] XVIIe. douleur;de feme perdue / de feme ravye / de fme qui tansse et noysseuse / fortune / adversite / doleur / crainte / infamie / de voisins noyseux / de feme.. ->;... espousee adjugee à aultruy / l'ome / rayson / foy - esperance;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26422;220;421;1374;2236;220,421,1374,2236;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f253/220,421,1374,2236/full/0/native.jpg;253;ark:/12148/cgfbt26422g;896;1194;121;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
122803;499;855;441;499;499,855,441,499;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f253/499,855,441,499/full/0/native.jpg;253;ark:/12148/cgfbt1228032;896;1194;121;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26423;511;492;3331;4863;511,492,3331,4863;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f282/511,492,3331,4863/full/0/native.jpg;282;ark:/12148/cgfbt26423t;896;1193;135v;Allégorie: Raison et l'homme;de seigneur injuste. dya[logue]  XXXIX. douleur;fortune / adversite / doleur / crainte / de la durete du pere / de la maratre / de laboureur maulvais et orguilleux / de maulvais et injuste... ->;... seigneur / l'ome / rayson / foy - esperance / la feme / de la mere de son enfent;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26424;214;447;3221;4944;214,447,3221,4944;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f313/214,447,3221,4944/full/0/native.jpg;313;ark:/12148/cgfbt264245;896;1193;151;Allégorie: Raison et l'homme;de larrecins. dyalogue LX. douleur;fortune / l'ome / rayson;0;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26425;750;925;634;3421;750,925,634,3421;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f314/750,925,634,3421/full/0/native.jpg;314;ark:/12148/cgfbt26425h;896;1194;151v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26426;278;428;3402;4912;278,428,3402,4912;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f341/278,428,3402,4912/full/0/native.jpg;341;ark:/12148/cgfbt26426v;896;1193;165;Allégorie: Raison et l'homme;du roy sans filz. dya[logue] LXXVIII. douelur;adversite / crainte / doleur / fortune / rayson / foy - esperance;0;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26427;763;899;653;3357;763,899,653,3357;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f342/763,899,653,3357/full/0/native.jpg;342;ark:/12148/cgfbt264276;896;1194;165v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26428;272;415;3395;4969;272,415,3395,4969;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f417/272,415,3395,4969/full/0/native.jpg;417;ark:/12148/cgfbt26428j;896;1193;202;Allégorie : Triomphe de la Mort;de crainte de mort. dyal[ogue] CXVII. crainte;mort voluntaire / adversite / fortune / doleur / crainte / mort ignominyeuse / mort sodaine / de mort en pechez / de mort devant ces jours ->;-> l'ome / rayson / foy - esperance / de celui qui demeure sans sepulture;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26429;679;893;627;3344;679,893,627,3344;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f418/679,893,627,3344/full/0/native.jpg;418;ark:/12148/cgfbt26429w;896;1194;202v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
42606;86;291;4311;5049;86,291,4311,5049;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f11/86,291,4311,5049/full/0/native.jpg;11;ark:/12148/cgfbt426067;1174;1656;1;Présentation du livre;(à renseigner);(à renseigner);0;b;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1490;Vers 1490;Maître du cardinal de Bourbon;France;Paris;Mss;Français;2692;0;0;0;0
42608;224;593;8410;5102;224,593,8410,5102;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f16/224,593,8410,5102/full/0/native.jpg;16;ark:/12148/cgfbt42608x;1174;1657;3v-4;Proclamation de la joute de Bruges (1392);(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42609;896;568;7372;5173;896,568,7372,5173;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f17/896,568,7372,5173/full/0/native.jpg;17;ark:/12148/cgfbt426098;1174;1657;4v-5;Armes des alliés de Jean de Bruges;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42610;927;645;7061;5191;927,645,7061,5191;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f18/927,645,7061,5191/full/0/native.jpg;18;ark:/12148/cgfbt42610g;1174;1657;5v-6;Armes des alliés de Wulfart de Ghistele;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
123355;551;818;834;669;551,818,834,669;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f22/551,818,834,669/full/0/native.jpg;22;ark:/12148/cgfbt1233558;1174;1657;8;Lettre ornée;-;-;0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42611;65;123;4696;5497;65,123,4696,5497;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f25/65,123,4696,5497/full/0/native.jpg;25;ark:/12148/cgfbt42611t;1174;1657;9v;Tournoi : seigneur appelant lançant le défi;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
123356;165;275;1886;1690;165,275,1886,1690;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f26/165,275,1886,1690/full/0/native.jpg;26;ark:/12148/cgfbt123356n;1174;1657;10;Lettre filigranée;-;-;0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42612;31;63;4331;4803;31,63,4331,4803;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f28/31,63,4331,4803/full/0/native.jpg;28;ark:/12148/cgfbt426125;1174;1657;11;Tournoi : seigneur défendant relevant le défi;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42613;47;47;4504;4850;47,47,4504,4850;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f32/47,47,4504,4850/full/0/native.jpg;32;ark:/12148/cgfbt42613h;1174;1657;13;Tournoi : seigneur défendant choisissant les juges diseurs;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42614;41;33;4709;4644;41,33,4709,4644;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f35/41,33,4709,4644/full/0/native.jpg;35;ark:/12148/cgfbt42614v;1174;1657;14v;Tournoi: roi d'armes et juges diseurs;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42615;73;64;4667;4538;73,64,4667,4538;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f40/73,64,4667,4538/full/0/native.jpg;40;ark:/12148/cgfbt426156;1174;1657;17;Tournoi : roi d'armes proclamant le tournoi;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42616;285;440;4011;3579;285,440,4011,3579;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f46/285,440,4011,3579/full/0/native.jpg;46;ark:/12148/cgfbt42616j;1174;1657;20;Tournoi : casque;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42617;2262;1241;1289;2092;2262,1241,1289,2092;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f49/2262,1241,1289,2092/full/0/native.jpg;49;ark:/12148/cgfbt42617w;1174;1657;21v;Tournoi : armure;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42618;890;1716;1279;1004;890,1716,1279,1004;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f54/890,1716,1279,1004/full/0/native.jpg;54;ark:/12148/cgfbt426187;1174;1657;24;Tournoi : armure;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42619;1862;2339;1004;1182;1862,2339,1004,1182;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f54/1862,2339,1004,1182/full/0/native.jpg;54;ark:/12148/cgfbt42619k;1174;1657;24;Tournoi : armure;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42620;462;2182;3172;2539;462,2182,3172,2539;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f56/462,2182,3172,2539/full/0/native.jpg;56;ark:/12148/cgfbt42620s;1174;1657;25;Tournoi : armement d'un jouteur;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42621;1731;1949;1892;1545;1731,1949,1892,1545;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f63/1731,1949,1892,1545/full/0/native.jpg;63;ark:/12148/cgfbt426214;1174;1657;28v;Tournoi : hourd;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42622;1374;1374;2773;3080;1374,1374,2773,3080;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f65/1374,1374,2773,3080/full/0/native.jpg;65;ark:/12148/cgfbt42622g;1174;1657;29v;Tournoi : hourd;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42623;1270;1278;2867;3035;1270,1278,2867,3035;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f67/1270,1278,2867,3035/full/0/native.jpg;67;ark:/12148/cgfbt42623t;1174;1657;30v;Tournoi : hourd;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42624;964;1076;3591;3526;964,1076,3591,3526;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f69/964,1076,3591,3526/full/0/native.jpg;69;ark:/12148/cgfbt426245;1174;1657;31v;Tournoi : hourd;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
42625;71;79;9019;6415;71,79,9019,6415;https://gallica.bnf.fr/iiif/ark:/12148/btv1b10532593m/f71/71,79,9019,6415/full/0/native.jpg;71;ark:/12148/cgfbt42625h;1174;1657;32v-33;Tournoi: joute du seigneur appelant et du seigneur défendant;(à renseigner);(à renseigner);0;a;0;René d'Anjou, Livre des tournois;15;XVe siècle;vers 1488-1489;Vers 1488-1489;Maître du Boèce Flamand;Belgique;Bruges;Mss;Français;2692;0;0;0;0
